Name,Passes and iterations
Data sizes,"[1000, 5000, 10000, 20000, 40000]"
Number of topics,"[10, 30, 50, 100]"
Not above,"[0.1, 0.5, 0.9]"
Chunksize,"[500, 1000, 2000, 4000]"
Passes,"[1, 5, 10, 20]"
Iterations,"[100, 200, 400]"

Data size,Topics,no_above,Chunksize,Passes,Iteration
1000,30,0.5,2000,5,200

week,cool,ac,money,hook,wall,downstairs,automation,fun,convenient,security,amazon,sight,access,use,support,awesome,apple,area,advertised,room,neutral,holiday,turn,network,way,brand,home,sunset,room
working,idea,unit,doe,adt,plugged,control,good,like,love,work,alexa,line,tp,outlet,month,heater,need,thank,alexa,bed,instruction,password,remote,phone,need,big,smartthings,expected,lighting
worked,work,furniture,little,highly,unit,ve,useful,touch,super,deal,room,bulky,separate,great,day,home,store,recommend,set,home,light,working,having,work,power,adapter,easy,kid,wall
problem,charm,limited,product,recommend,socket,number,wa,work,work,need,set,reliably,point,outside,wa,control,buy,stop,perfectly,house,white,try,use,switch,like,like,smart,tv,control
month,stuff,wa,described,fantastic,product,different,time,reprogram,wa,programmable,plug,vera,desk,outdoor,service,dark,slow,buy,good,able,install,fine,floor,connect,box,plug,wink,timer,reach
far,thing,need,waste,great,receiver,use,technology,moved,install,big,use,ready,smart,house,review,transmitter,thanks,helpful,doe,bedroom,line,took,outlet,router,turn,bulb,google,smartphone,power

Data size,Topics,no_above,Chunksize,Passes,Iteration
20000,30,0.5,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
alexa,connect,wemo,home,work,working,switch,instruction,time,light,plug,control,outlet,recommend,little,turn,unit,homekit,schedule,ha,switch,device,outlet,easy,review,wa,outlet,lamp,switch,link
echo,wi,app,dot,great,month,hub,service,set,turn,smart,remote,plug,highly,bit,light,good,apple,phone,battery,light,wifi,tv,set,wa,work,power,room,button,tp
work,fi,switch,cool,product,worked,bulb,customer,power,remote,light,home,belkin,best,set,timer,product,siri,time,signal,wire,app,energy,setup,password,tried,remote,living,turn,kasa
amazon,time,device,voice,advertised,awesome,work,money,like,room,christmas,socket,wall,wion,wa,love,price,koogeek,app,product,wa,network,like,use,product,time,plugged,ifttt,setting,work
app,io,router,command,doe,ve,light,waste,sunset,lamp,tree,nice,device,program,fantastic,set,purchase,idevices,turn,range,box,phone,usage,work,account,support,plug,use,app,app
great,connection,update,automation,like,week,smartthings,follow,ve,use,turn,phone,use,wish,bulky,home,work,work,timer,cord,outdoor,connected,worth,wa,update,worked,strip,wa,set,iphone
use,hour,wa,heater,exactly,far,add,product,rule,house,control,controlled,block,product,product,use,happy,ipad,function,foot,house,doe,scheduling,great,read,return,control,haven,time,android
love,internet,firmware,control,expected,got,doe,help,software,bedroom,use,use,like,multiple,great,time,better,iphone,work,pump,installed,neo,use,install,day,setup,use,friend,iphone,fine
smart,reset,wifi,simple,described,year,junk,trouble,connectivity,bed,wa,device,design,wonderful,work,house,purchased,monitor,coffee,band,need,smartphone,feature,product,people,device,apartment,forward,scene,router
super,device,setup,integration,convenient,buy,way,time,reset,love,home,smart,cover,ihome,big,like,perfectly,connected,morning,issue,install,download,number,app,bought,able,floor,table,step,wireless

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,30,0.5,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
app,device,wa,light,alexa,product,integration,hour,price,switch,work,needed,update,money,wa,unit,power,wifi,turn,set,support,easy,minute,item,wire,plug,wi,love,good,feature
device,belkin,instruction,turn,smart,recommend,range,trying,convenient,light,great,downloaded,firmware,tablet,working,apple,strip,network,home,app,product,work,password,super,switch,outlet,fi,remote,far,sunset
wemo,usb,set,room,plug,awesome,ihome,review,best,wa,alexa,recommended,issue,bed,worked,homekit,button,connect,light,turn,customer,set,le,purchase,box,smart,camera,quality,hard,rule
link,port,minute,lamp,echo,highly,4ghz,problem,worth,dimmer,product,future,week,user,got,tuya,fast,device,use,timer,service,setup,took,happy,neutral,socket,connected,product,work,sunrise
tp,ha,command,house,amazon,excellent,wireless,spent,good,like,google,pleased,ha,waste,work,pack,surge,plug,like,easy,tech,install,brand,product,light,use,security,control,device,start
kasa,charge,time,love,app,cool,ghz,gave,expensive,installed,home,bulb,review,coffee,time,koogeek,press,router,control,phone,email,use,10,wa,white,wall,configure,handy,application,app
setup,phone,app,use,work,purchasing,5ghz,know,area,wall,doe,stuff,ve,iphone,day,siri,protector,work,house,control,sent,wa,fan,exactly,install,size,nest,thing,bad,time
phone,like,setup,great,dot,hook,function,connectivity,bought,way,perfectly,job,month,friendly,fine,cable,outage,connection,thing,schedule,company,great,20,described,wiring,small,configured,buy,reach,amazing
android,design,took,living,control,pretty,click,gift,buy,hub,hub,appliance,new,apps,tried,scene,packaging,wemo,energy,home,help,advertised,wish,sync,blue,plugged,stay,tan,server,slow
wa,product,follow,bedroom,voice,intended,mac,figure,husband,bulb,buy,free,problem,etekcity,bought,channel,gadget,mini,remotely,time,replacement,like,junk,fantastic,work,like,terrible,access,high,ap

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,30,0.1,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
wire,instruction,apple,wemo,hub,good,thing,support,timer,update,skill,life,advertised,lamp,perfectly,expected,socket,connect,recommend,minute,bought,voice,working,dimmer,install,unit,reset,power,port,network
usb,download,homekit,link,buying,far,fan,customer,schedule,dot,getting,button,ifttt,house,worked,code,mini,android,highly,wi,buy,command,day,rule,excellent,perfect,ve,strip,access,connect
neutral,follow,iphone,tp,block,doe,cool,service,away,room,ordered,program,sunset,room,google,space,awesome,fine,definitely,fi,best,amazon,month,led,box,fast,brand,belkin,camera,tried
fit,simple,charger,kasa,need,price,remote,review,feature,living,little,easier,integration,bedroom,exactly,couldn,nice,tablet,price,took,second,bulb,week,doe,installed,tuya,pair,surge,internet,hour
box,direction,koogeek,amazon,plan,quality,convenient,account,function,firmware,trouble,click,sunrise,bed,christmas,heater,item,coffee,breeze,connected,order,google,worked,way,installation,big,issue,plugged,need,setting
white,downloaded,siri,air,paired,better,pretty,email,house,amazon,difficult,pack,smartthings,night,happy,arrived,super,connects,fantastic,wemo,price,automation,money,button,electrical,extender,ha,ha,cord,router
need,group,scene,step,wink,software,want,received,ha,tell,operate,remote,pleased,tv,described,scheduling,size,won,extremely,connection,haven,io,bought,gadget,house,range,ipad,monitor,ac,password
black,create,activate,insight,future,ihome,useful,sent,remotely,family,connecting,press,porch,dark,purchase,tan,small,issue,garage,router,user,energy,stopped,ha,wall,issue,year,protector,security,trying
sure,store,enabled,problem,play,recommended,little,charge,allows,ask,convenience,lighting,outside,come,flawlessly,value,design,amazon,reliable,10,got,usage,return,dim,charging,connectivity,offline,outage,unit,try
walk,forward,machine,setting,compact,supposed,room,replacement,automatically,issue,thanks,programming,min,able,tree,scan,wall,maker,buy,le,far,compatible,ha,know,single,second,band,motion,ha,finally

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,30,0.5,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
doe,house,amazon,instruction,described,good,ve,night,price,wall,link,button,timer,password,socket,wi,internet,lamp,network,wemo,remote,voice,working,room,tried,homekit,android,update,far,wire
advertised,awesome,purchase,minute,play,connection,belkin,energy,life,little,tp,hard,schedule,setting,google,fi,access,power,connect,support,bulb,fan,mini,perfectly,hour,apple,hub,firmware,unit,box
exactly,super,happy,took,range,quality,review,block,bed,size,camera,click,away,group,perfect,ifttt,morning,plugged,router,customer,different,command,kasa,recommend,connect,automation,user,issue,convenient,neutral
simple,thing,item,install,extender,ihome,ll,ac,cost,small,security,reset,feature,add,christmas,amazing,having,strip,connected,skill,led,amazon,worked,living,return,integration,iphone,software,old,white
expected,definitely,buy,download,drop,life,power,air,usage,nice,desk,tuya,ha,ability,seller,ipad,cable,usb,wireless,service,floor,dot,week,excellent,trying,reliable,compatible,problem,io,installation
recommended,able,purchased,step,arrived,idea,people,heater,garage,design,connection,press,day,hub,tree,hook,point,tv,4ghz,account,location,useful,day,highly,help,scene,google,downloaded,year,wiring
register,dark,worth,simple,consumption,pretty,thing,monitor,feel,fit,auto,unplug,remotely,smartthings,got,gift,slow,bedroom,reset,rule,leave,controlled,dot,cool,tech,koogeek,apps,cord,future,install
job,come,money,worked,code,doe,know,window,compact,big,excited,signal,sunset,forward,pack,iphone,nest,appliance,ghz,email,battery,need,month,best,got,siri,enter,fix,ordered,house
needed,lamp,jinvoo,working,hue,lost,charge,blue,door,bit,brand,manually,automatically,mobile,thank,monitoring,kitchen,surge,signal,amazon,dim,easily,fine,gadget,different,application,wink,version,min,electrical
supposed,nice,follow,little,frequently,returning,issue,electronics,high,cover,permission,waste,allows,able,worked,hooked,useless,need,issue,replacement,dimmer,expensive,amazon,operate,bought,enabled,server,android,purchasing,way

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,30,0.9,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
lamp,iphone,excellent,unit,account,good,nice,christmas,power,socket,buy,plugged,wemo,awesome,google,timer,doe,working,cool,connect,rule,usb,wire,wi,link,house,install,instruction,update,perfect
room,pair,apple,wall,need,minute,convenient,tree,button,customer,definitely,thing,router,item,voice,schedule,sync,worked,bulb,network,tablet,hub,box,fi,tp,come,simple,download,firmware,sunset
bedroom,buying,homekit,design,thing,took,expected,fantastic,strip,service,looking,hard,network,tv,amazon,function,job,dot,feature,mini,mode,port,neutral,remote,kasa,away,camera,skill,issue,happy
fan,ipad,downloaded,tuya,know,price,wish,year,size,support,price,amazing,connection,quality,command,described,compatible,month,pretty,tried,configure,charge,install,range,life,able,integration,follow,review,sunrise
living,purchase,automation,small,program,super,exactly,click,plugged,sent,look,internet,ifttt,bought,advertised,allows,supposed,day,energy,belkin,register,smartthings,installed,daily,recommend,outside,security,step,software,ihome
bed,group,reliable,cord,people,far,pleased,impressed,ha,seller,recommend,getting,connect,pack,android,option,wink,week,dimmer,hour,based,charm,installation,signal,highly,dark,min,add,new,power
dot,friend,koogeek,cover,figure,le,arrived,ordered,surge,return,feel,lamp,wireless,gift,quick,remotely,hub,problem,led,support,information,needed,white,website,easier,gadget,mobile,direction,version,convenience
house,individual,apps,big,review,10,block,garage,smaller,email,future,unplug,issue,thanks,worked,io,terrible,bought,usage,connected,access,charging,electrical,24,recommended,night,husband,read,problem,outage
night,purchased,siri,user,let,fast,compact,randomly,press,replacement,forward,wife,setting,hooked,controlled,away,bad,fine,stuff,password,charger,need,wiring,upstairs,amazon,vacation,scheduled,connect,fix,appliance
able,family,sensor,fit,ask,20,little,ordering,thing,company,purchase,having,connected,satisfied,simple,setting,exactly,reset,dim,try,discover,best,house,downstairs,brand,perfectly,lose,code,model,desk

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,30,0.9,500,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
dot,item,lamp,link,google,away,good,recommend,money,little,box,install,seller,working,convenient,far,tuya,expected,timer,life,usb,awesome,wi,power,socket,connect,wemo,review,buy,bought
fast,amazon,room,tp,doe,connection,perfect,highly,company,best,wire,hub,bulb,worked,button,price,user,charm,program,thing,small,remote,fi,strip,unit,minute,instruction,update,iphone,got
useful,fan,house,router,needed,remotely,appliance,definitely,quality,quickly,direction,issue,led,week,group,perfectly,software,installation,function,voice,port,access,open,schedule,size,connected,setting,support,service,ve
amazon,integration,bedroom,network,exactly,ha,io,buying,code,trouble,install,pair,ipad,fine,second,good,cell,min,automatically,cool,click,configure,ll,plugged,christmas,took,download,issue,internet,jinvoo
high,hooked,living,account,looking,house,easier,amazing,number,getting,white,firmware,controlled,day,block,advertised,failed,forward,ifttt,nice,ha,wish,future,wall,surge,hour,skill,problem,customer,downloaded
free,world,super,mini,store,coffee,press,quick,purchasing,hard,electrical,apps,dimmer,tried,start,ordered,friendly,online,sunset,command,big,morning,close,purchase,play,android,follow,reset,connecting,flawlessly
functionality,homekit,bed,password,compatible,mobile,charger,price,waste,complete,need,register,plus,return,turned,happy,server,camera,discover,pretty,space,thanks,connection,want,design,got,connect,received,tablet,year
air,automation,dark,kasa,amazon,feature,stuff,buy,offline,family,wall,paired,area,problem,mode,worked,wonderful,straight,create,able,energy,unplug,cost,night,protector,network,step,belkin,tan,expensive
quality,koogeek,turning,tv,need,able,wife,pleased,buy,bit,neutral,simple,compact,stopped,ac,month,error,extender,allows,know,little,solution,type,need,tree,tried,add,doe,security,pack
rating,prime,getting,excellent,operate,handy,touch,bought,send,especially,single,difficult,addition,update,blue,described,value,clear,outside,tell,charging,permission,mean,multiple,window,try,smartphone,trying,entire,worked

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,30,0.9,1000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
wemo,link,support,instruction,voice,minute,password,recommend,feature,power,price,life,thing,fan,working,nice,timer,usb,install,buy,connect,button,wi,socket,good,lamp,dot,wire,port,play
android,tp,hour,download,item,took,brand,highly,away,strip,bought,skill,cool,better,worked,bedroom,schedule,tuya,simple,belkin,network,remote,fi,iphone,doe,room,hub,box,rule,absolutely
