Name,Passes and iterations
Data sizes,"[1000, 5000, 10000, 20000, 40000]"
Number of topics,"[10, 30, 50, 100]"
Not above,"[0.1, 0.5, 0.9]"
Chunksize,"[500, 1000, 2000, 4000]"
Passes,"[1, 5, 10, 20]"
Iterations,"[100, 200, 400]"

Data size,Topics,no_above,Chunksize,Passes,Iteration
1000,50,0.9,2000,5,200

update,returned,light,second,amazon,wa,sunset,ipad,terminal,level,switch,like,program,device,bulky,use,control,power,purchased,product,low,tp,light,use,fit,pump,app,want,work,installation,fully,network,programming,way,phone,wa,great,automate,setup,controller,time,turning,need,smart,reliably,product,turn,floor,help,issue
switch,day,set,motion,alexa,load,set,router,switch,cheaper,speed,amazing,button,need,kindle,switch,security,ac,work,great,outdoor,app,great,pain,wa,device,use,new,switch,like,switch,gave,cost,power,connected,app,product,hate,pair,pool,instruction,future,box,doe,allows,network,connected,tablet,product,working
time,ve,control,problem,wifi,box,remote,forget,need,worked,automatic,easy,work,information,paid,tell,recommend,better,christmas,wa,unfortunately,terrible,unplug,reach,way,controller,home,quit,range,smart,guess,le,bought,wiring,connection,think,excellent,changing,super,use,start,light,installed,little,appliance,support,light,sale,called,time
reset,work,foot,later,work,ground,lamp,doe,extra,gift,restart,add,haven,given,tricky,bedroom,away,like,turn,wish,hoping,wa,worked,holiday,gang,led,wa,winter,multiple,fact,house,mini,ability,neutral,setup,ve,control,understand,perfect,ha,life,apartment,turn,technology,sound,time,moved,cool,wa,camera
firmware,purchase,away,sensor,command,need,outlet,signal,moment,bought,high,charm,easy,manage,frustration,bed,highly,piece,tell,wake,work,idea,bought,respond,like,control,living,better,garage,non,sure,socket,worth,ge,switch,like,setup,electric,set,wave,switch,home,forgot,connected,landscape,tried,switch,away,tech,ha
network,connection,consistently,time,voice,installed,use,job,design,disconnect,setting,use,ha,way,application,home,took,mean,certain,switch,voltage,product,plug,set,ge,use,ifttt,signal,wa,page,dimming,recommended,switch,wa,alexa,set,samsung,spend,wa,way,option,phone,unit,getting,create,internet,need,smartthings,fix,ve

Data size,Topics,no_above,Chunksize,Passes,Iteration
10000,50,0.9,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
product,adt,wifi,perfectly,set,programming,echo,unit,wink,switch,turn,light,week,good,plug,reach,minute,pack,power,switch,switch,hour,switch,switch,working,update,setting,module,use,price,light,wa,company,wemo,appliance,hub,room,remote,save,love,light,work,wa,decoration,year,downstairs,lamp,switch,battery,product
work,outdoor,network,work,easy,getting,amazon,extremely,hub,light,light,turn,office,water,wall,hard,wi,iphone,outlet,rule,wire,trying,light,apartment,month,plugging,absolutely,device,floor,product,christmas,money,fantastic,app,wireless,work,light,outlet,useful,heater,turn,great,upstairs,number,android,table,turn,wall,door,customer
great,pulse,connect,paired,work,trouble,etekcity,security,code,button,alexa,night,pleased,50,plugged,furniture,fi,time,strip,device,box,gift,link,prong,stopped,firmware,change,wave,easy,good,tree,waste,purpose,belkin,access,home,turn,button,reprogram,internet,convenient,easy,time,review,haven,operate,room,like,garage,wa
advertised,alarm,device,gadget,worked,need,work,spot,pair,life,bed,house,idea,nice,work,friend,setup,apps,receiver,app,wa,device,bulb,pairing,worked,designed,com,controller,love,quality,turn,piece,work,switch,password,smart,home,control,electricity,space,control,install,tried,wa,version,location,plugged,fit,remote,service
excellent,light,router,easily,bought,feel,alexa,definitely,multiple,turn,room,time,wife,feature,like,place,took,got,size,way,neutral,reset,socket,light,ago,x10,ups,io,fan,work,click,time,huge,work,lost,awesome,use,use,overhead,modem,use,doe,button,channel,half,device,button,chair,signal,support
exactly,work,connected,seller,setup,like,wa,energy,ok,easier,bedroom,programmed,day,running,remote,work,month,set,wall,wa,light,time,lighting,time,wa,upgrade,totally,time,house,insteon,use,new,coming,phone,amazing,smartthings,living,room,electronics,morning,dark,job,got,different,entire,sync,turning,single,device,device
described,drop,app,soon,flawlessly,electric,wemo,family,add,power,switch,tv,order,attached,handy,thing,failed,sale,plugged,set,wave,try,led,home,fine,round,set,rf,turn,arrived,great,individually,time,device,returned,great,set,having,people,thanks,room,fine,push,switch,received,gave,device,large,need,update
wish,add,connection,given,far,year,switch,extra,follow,think,living,set,buy,watt,smart,adapter,time,multiple,cover,time,way,work,control,second,right,technology,local,home,dot,controller,hooked,pre,despite,setup,work,highly,like,different,lot,control,home,pair,wouldn,need,older,buy,living,thing,yes,time
doe,mini,switch,sending,ve,range,voice,worth,web,press,cord,holiday,wa,offer,area,apple,work,ve,use,turn,add,tech,wall,fall,window,helpful,default,power,light,range,outside,box,product,smart,touch,perfect,lamp,turn,radio,hot,night,like,thought,problem,ve,foot,wa,originally,solution,replacement
wonderful,buying,reset,giving,use,solid,command,twice,usage,work,extension,leave,pi,power,cell,use,away,turn,big,like,wiring,instruction,dimmer,want,bought,year,8,use,want,best,work,junk,shipping,product,stop,recommend,able,ve,solution,xmas,house,use,able,rating,house,range,set,especially,like,firmware

Data size,Topics,no_above,Chunksize,Passes,Iteration
20000,50,0.9,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
minute,wi,io,home,wa,good,power,product,product,time,connection,app,doe,switch,remote,work,light,range,iphone,module,outlet,switch,alexa,rule,free,expected,belkin,easy,wifi,support,app,said,plug,outdoor,hub,turn,working,wireless,socket,plug,room,homekit,update,fan,review,month,returned,wa,item,model
10,fi,app,timer,tried,work,password,work,recommend,set,reach,use,exactly,power,lamp,great,turn,controller,wa,wave,power,box,work,button,energy,work,unit,set,network,update,device,given,smart,outside,pair,light,router,tablet,better,cord,living,apple,heater,useful,money,6,work,click,price,green
second,tv,step,automation,time,perfect,change,great,excellent,timer,best,set,easier,light,turn,echo,house,signal,device,timer,control,wire,love,controlling,think,far,start,wa,connect,product,wemo,moved,use,great,work,switch,reset,quickly,reliable,sure,walk,siri,firmware,use,waste,friend,lose,error,function,added
floor,thank,year,light,hour,perfectly,forward,advertised,want,android,bulb,easy,life,like,button,amazon,great,garage,ipad,account,wall,wa,great,unit,play,little,downloaded,christmas,connected,firmware,link,totally,cool,worked,smartthings,morning,got,foot,fast,design,office,work,happy,fun,code,help,usb,trying,order,particular
hit,happens,smaller,feature,product,highly,straight,awesome,command,schedule,ordered,alexa,work,device,light,dot,home,pump,wion,old,use,install,like,set,stop,le,ac,setup,wa,tech,tp,auto,thing,lighting,paired,use,ve,pack,connectivity,extension,junk,koogeek,supposed,family,wa,ha,intended,figure,brand,updating
took,connection,smartphone,use,worked,recommended,need,described,device,turn,convenient,turn,job,doe,use,easy,love,distance,extremely,track,unit,installed,charm,unplugged,huge,definitely,switch,install,setting,service,kasa,especially,like,week,wink,time,day,purpose,device,hard,wa,idevices,version,gadget,helpful,issue,surge,wouldn,work,called
group,router,wish,away,return,user,intuitive,coffee,stuff,phone,wall,control,oh,wa,control,use,control,door,work,operation,big,neutral,bought,started,store,longer,remotely,tree,device,customer,router,blink,bulky,work,pairing,day,stopped,control,trouble,pleased,kit,software,hue,control,bad,save,ready,gave,bought,bar
